point_id,point_role,pos_x,pos_y,pos_z,note
cal-01,calibration,34.9,18.7,0.45,C1
cal-02,calibration,24.02,6.31,0.45,C2
cal-03,calibration,16.07,6.31,0.45,C3
cal-04,calibration,5.86,18.56,0.45,C4
test-01,test,12.57,17.83,0.45,T1
test-02,test,1.8,17.8,0.45,T2
test-03,test,1.76,6.9,0.45,T3
test-04,test,5.17,5.31,0.45,T4
test-05,test,10.9,5.31,0.45,T5
test-06,test,20.04,5.31,0.45,T6
test-07,test,31.57,5.31,0.45,T7
test-08,test,37.93,6.9,0.45,T8
test-09,test,37.93,16.88,0.45,T9
test-10,test,30.1,17.83,0.45,T10
